,Title,Published_date,Views,Likes,Comments,month
114,Zara Larsson - Poster Girl (Official Audio),2021-03-05,1051980,18814,742,Mar
115,Zara Larsson - Look What You've Done (Official Audio),2021-02-22,2300090,47816,1718,Feb
116,LOVE LINE with Zara & Serena,2021-02-12,100271,2378,61,Feb
117,Zara Larsson - Talk About Love (Live) | Vevo Studio Performance,2021-01-29,680568,15094,918,Jan
118,Zara Larsson - Talk About Love (Choreography Video) ft. Young Thug,2021-01-22,347985,9250,448,Jan
119,Zara Larsson - Talk About Love (Official Visualizer) ft. Young Thug,2021-01-19,183511,7816,366,Jan
120,Zara Larsson - Behind the Scenes of Talk About Love ft. Young Thug,2021-01-15,82742,3840,148,Jan
121,Zara Larsson - Talk About Love (Official Music Video) ft. Young Thug,2021-01-08,4125013,91186,3660,Jan
122,Zara Larsson -,2021-01-08,0,861,0,Jan
123,Zara Larsson - Talk About Love (Official Lyric Video) ft. Young Thug,2021-01-08,146500,8366,384,Jan
124,Zara Larsson - Talk About Love (Official Audio) ft. Young Thug,2021-01-08,585540,16660,543,Jan
125,Zara Larsson - Talk About Love Official Music Video Premiere,2021-01-05,0,1839,0,Jan
126,Zara Larsson - Behind the Scenes of WOW (Live from the MTV EMA 2020),2020-11-16,374093,12922,323,Nov
127,Zara Larsson - WOW (Live from the MTV EMA 2020),2020-11-11,2079070,45870,1424,Nov
128,Zara Larsson - WOW (Official Music Video),2020-10-22,9360712,166672,3072,Oct
129,Zara Larsson - WOW ft. Sabrina Carpenter LIVE CHAT,2020-10-07,66326,5233,129,Oct
130,Zara Larsson - WOW (Remix - Official Music Video) ft. Sabrina Carpenter,2020-10-07,27759346,476811,9520,Oct
131,Zara Larsson - WOW (Imanbek Remix - Official Audio),2020-10-02,277685,7703,287,Oct
132,Zara Larsson -,2020-10-01,0,25,0,Oct
133,Zara Larsson - WOW (Remix - Official Audio) ft. Sabrina Carpenter,2020-09-25,3261028,64961,1546,Sep
134,Zara Larsson - WOW (Tik Tok Makeup Video),2020-09-18,87947,4149,228,Sep
135,Zara Larsson - WOW (Official Lyric Video),2020-09-10,498377,21073,668,Sep
136,Zara Larsson - Love Me Land (Tik Tok Dance Video),2020-08-19,133066,5757,246,Aug
137,Zara Larsson - Love Me Land (Secondcity Remix - Official Visualizer),2020-08-07,326022,7445,331,Aug
138,Zara Larsson - Love Me Land (Secondcity Remix - Official Audio),2020-08-07,58135,2688,183,Aug
139,Zara Larsson - Love Me Land (Live from Gröna Lund),2020-08-06,1657345,44011,1470,Aug
140,Zara Larsson - Love Me Land (Official Lyric Video),2020-07-28,211884,7789,263,Jul
141,Zara Larsson - Behind the Scenes of Love Me Land,2020-07-16,325956,14586,904,Jul
